Position,State,Member,Party,Chamber,Geography,Region,Division,MALELFP,FEMALELFP,MARRIEDRATE,TOTALHHs,MARRIEDwKIDS,COHABITwKIDS,SINGDADwKIDS,SINGMOMwKIDS,KIDSPRESENTHH,ALLFERTILITY,UNMARRFERTILITY,FERTILITYRATE,MARRIEDFERTILITY,MARRIEDwKIDSpct,Abbrev,DEM.,REP.,FIPS,DemxHouse.y,GOPxHouse.y,Note,Flip
"Congressional District 1 (118th Congress), Alabama",Alabama,Barry Moore,Republican ,1,5001800US0101,South,SE Central,0.6178730125226087,0.5235219115039547,48.0,276035,44807,4771,2897,14955,28.7,8356,3395,52,4961,16.2,AL,0.34,0.65,1,0.22,0.78,NA,NA
"Congressional District 2 (118th Congress), Alabama",Alabama,Shomari Figures,Democratic ,2,5001800US0102,South,SE Central,0.6135937105583745,0.5260296170805446,45.7,274258,44199,4943,3418,19154,30.1,8503,3699,51,4804,16.1,AL,0.34,0.65,1,0.55000000000000004,0.45,New member,2024flip
"Congressional District 3 (118th Congress), Alabama",Alabama,Mike Rogers,Republican ,3,5001800US0103,South,SE Central,0.6042152004179198,0.5132584449011353,47.0,275196,44849,5132,3219,16139,29.3,9491,4391,56,5100,16.3,AL,0.34,0.65,1,--,0.98,NA,NA
"Congressional District 4 (118th Congress), Alabama",Alabama,Robert Aderholt,Republican ,4,5001800US0104,South,SE Central,0.6298090106516715,0.49629448236690576,51.5,270389,48683,4711,3076,13365,30.0,7926,3013,51,4913,18.0,AL,0.34,0.65,1,--,0.99,NA,NA
"Congressional District 5 (118th Congress), Alabama",Alabama,Dale Strong,Republican ,5,5001800US0105,South,SE Central,0.6872179346343034,0.5406746264849134,51.5,287649,51886,4414,3672,14068,29.0,8181,2137,49,6044,18.0,AL,0.34,0.65,1,--,0.95,NA,NA
"Congressional District 6 (118th Congress), Alabama",Alabama,Gary Palmer,Republican ,6,5001800US0106,South,SE Central,0.6958904712641149,0.5755144798217449,53.2,273202,56432,3930,2443,13206,31.7,8625,2287,52,6338,20.7,AL,0.34,0.65,1,0.3,0.7,NA,NA
"Congressional District 7 (118th Congress), Alabama",Alabama,Terri Sewell,Democratic ,7,5001800US0107,South,SE Central,0.5891564366017001,0.5287353426451881,34.6,276421,30234,4456,2668,22390,26.6,8733,4207,47,4526,10.9,AL,0.34,0.65,1,0.64,0.36,NA,NA
"Congressional District (at Large) (118th Congress), Alaska",Alaska,Nicholas Begich,Republican ,(at Large),5001800US0200,West,Pacific,0.7045849841358562,0.6254590462214613,49.3,264376,53960,7788,4433,10903,32.7,10454,3145,62,7309,20.4,AK,0.41,0.55,2,0.49,0.51,New member,2024flip
"Congressional District 1 (118th Congress), Arizona",Arizona,David Schweikert,Republican ,1,5001800US0401,West,Mountain,0.711226363135671,0.6015691725913141,48.8,351789,50200,6199,4241,11798,22.7,8369,2496,48,5873,14.3,AZ,0.47,0.52,4,0.48,0.52,NA,NA
"Congressional District 2 (118th Congress), Arizona",Arizona,Eli Crane,Republican ,2,5001800US0402,West,Mountain,0.5239286669747306,0.4830523947602145,47.0,299547,41196,8033,3087,11777,26.3,8317,3443,51,4874,13.8,AZ,0.47,0.52,4,0.46,0.54,NA,NA
"Congressional District 3 (118th Congress), Arizona",Arizona,Yassamin Ansari,Democratic ,3,5001800US0403,West,Mountain,0.7292165832876721,0.5926162638951166,37.0,258344,49458,14080,4960,23060,41.9,13030,5866,60,7164,19.1,AZ,0.47,0.52,4,0.71,0.27,New member,NA
"Congressional District 4 (118th Congress), Arizona",Arizona,Greg Stanton,Democratic ,4,5001800US0404,West,Mountain,0.7479621928166351,0.6203007055108787,42.1,321610,48377,9007,4803,16343,27.1,10252,3420,51,6832,15.0,AZ,0.47,0.52,4,0.53,0.45,NA,NA
"Congressional District 5 (118th Congress), Arizona",Arizona,Andy Biggs,Republican ,5,5001800US0405,West,Mountain,0.718452032084666,0.5890637412399615,57.9,281247,77170,5974,4986,10564,37.7,9185,1738,50,7447,27.4,AZ,0.47,0.52,4,0.4,0.6,NA,NA
"Congressional District 6 (118th Congress), Arizona",Arizona,Juan Ciscomani,Republican ,6,5001800US0406,West,Mountain,0.5971707221084608,0.5074337882756613,51.4,331051,50972,6704,4124,12587,24.7,8757,2367,56,6390,15.4,AZ,0.47,0.52,4,0.47,0.5,NA,NA
"Congressional District 7 (118th Congress), Arizona",Arizona,Raúl Grijalva,Democratic ,7,5001800US0407,West,Mountain,0.637791589160927,0.5444959732793702,40.2,284579,48634,11886,4994,19560,35.3,11102,5870,56,5232,17.1,AZ,0.47,0.52,4,0.63,0.37,NA,NA
"Congressional District 8 (118th Congress), Arizona",Arizona,Abraham Hamadeh,Republican ,8,5001800US0408,West,Mountain,0.6440236246892989,0.5363294420883847,51.0,312395,52490,7510,4143,11671,27.5,8881,3369,53,5512,16.8,AZ,0.47,0.52,4,0.43,0.56999999999999995,New member,NA
"Congressional District 9 (118th Congress), Arizona",Arizona,Paul Gosar,Republican ,9,5001800US0409,West,Mountain,0.60688576959416,0.5204188416643118,53.1,298574,58519,9302,4344,11931,32.0,11293,3892,65,7401,19.6,AZ,0.47,0.52,4,0.35,0.65,NA,NA
"Congressional District 1 (118th Congress), Arkansas",Arkansas,Rick Crawford,Republican ,1,5001800US0501,South,SW Central,0.5864244165365188,0.5167599870257944,47.6,290692,48086,6338,3637,18958,30.9,9015,3929,55,5086,16.5,AR,0.34,0.64,5,0.24,0.73,NA,NA
"Congressional District 2 (118th Congress), Arkansas",Arkansas,French Hill,Republican ,2,5001800US0502,South,SW Central,0.6540731378672823,0.5671725975188887,48.4,305802,53231,5860,3287,18882,29.8,9389,2958,52,6431,17.4,AR,0.34,0.64,5,0.41,0.59,NA,NA
"Congressional District 3 (118th Congress), Arkansas",Arkansas,Steve Womack,Republican ,3,5001800US0503,South,SW Central,0.6987305149593738,0.5702677152684192,52.1,286519,63385,7518,4731,14007,34.5,10384,3426,56,6958,22.1,AR,0.34,0.64,5,0.32,0.64,NA,NA
"Congressional District 4 (118th Congress), Arkansas",Arkansas,Bruce Westerman,Republican ,4,5001800US0504,South,SW Central,0.5688492517043392,0.4988590673441156,47.2,288681,44336,5413,3867,17275,29.1,8467,4001,52,4466,15.4,AR,0.34,0.64,5,0.27,0.73,NA,NA
"Congressional District 1 (118th Congress), California",California,Doug LaMalfa,Republican ,1,5001800US0601,West,Pacific,0.6006621656712542,0.5313266582818036,46.4,283379,49507,9026,4186,12909,30.3,8976,3423,54,5553,17.5,CA,0.59,0.38,6,0.35,0.65,NA,NA
"Congressional District 2 (118th Congress), California",California,Jared Huffman,Democratic ,2,5001800US0602,West,Pacific,0.651385917307306,0.5682888050628176,47.6,297718,51757,6027,4162,11123,26.9,7012,1671,44,5341,17.4,CA,0.59,0.38,6,0.72,0.28000000000000003,NA,NA
"Congressional District 3 (118th Congress), California",California,Kevin Kiley,Republican ,3,5001800US0603,West,Pacific,0.6406065272225319,0.549701987699269,54.4,293754,60671,5702,3900,8299,29.3,7299,1625,46,5674,20.7,CA,0.59,0.38,6,0.45,0.55000000000000004,NA,NA
"Congressional District 4 (118th Congress), California",California,Mike Thompson,Democratic ,4,5001800US0604,West,Pacific,0.6576419185874419,0.5771339272545839,46.3,281547,50792,7234,3730,10298,28.6,8428,2801,47,5627,18.0,CA,0.59,0.38,6,0.67,0.33,NA,NA
"Congressional District 5 (118th Congress), California",California,Tom McClintock,Republican ,5,5001800US0605,West,Pacific,0.6302318558974898,0.5288319479952209,51.2,281610,53388,6710,3799,10823,29.9,8513,2326,53,6187,19.0,CA,0.59,0.38,6,0.38,0.62,NA,NA
"Congressional District 6 (118th Congress), California",California,Ami Bera,Democratic ,6,5001800US0606,West,Pacific,0.6944018061798333,0.5904852484091422,45.6,273992,54229,7080,4920,14634,33.1,9823,2880,53,6943,19.8,CA,0.59,0.38,6,0.57999999999999996,0.42,NA,NA
"Congressional District 7 (118th Congress), California",California,Doris Matsui,Democratic ,7,5001800US0607,West,Pacific,0.6785736264487675,0.5897608152403206,45.0,263904,53173,6899,4037,14331,33.8,9394,2979,50,6415,20.1,CA,0.59,0.38,6,0.67,0.33,NA,NA
"Congressional District 8 (118th Congress), California",California,John Garamendi,Democratic ,8,5001800US0608,West,Pacific,0.7057664139965306,0.6017605588421039,45.6,254119,50205,7820,3581,14766,35.3,10886,3961,60,6925,19.8,CA,0.59,0.38,6,0.74,0.26,NA,NA
"Congressional District 9 (118th Congress), California",California,Josh Harder,Democratic ,9,5001800US0609,West,Pacific,0.6770138374104275,0.5474419952607443,46.8,234536,56769,9598,4483,14056,41.2,9740,3399,54,6341,24.2,CA,0.59,0.38,6,0.52,0.48,NA,NA
"Congressional District 10 (118th Congress), California",California,Mark DeSaulnier,Democratic ,10,5001800US0610,West,Pacific,0.7138667331899486,0.5902404879107916,56.0,271475,74819,4186,2739,9468,36.1,8747,1696,51,7051,27.6,CA,0.59,0.38,6,0.66,0.34,NA,NA
"Congressional District 11 (118th Congress), California",California,Nancy Pelosi,Democratic ,11,5001800US0611,West,Pacific,0.7462561752276651,0.6735368412312664,39.4,327227,39910,2331,1775,7236,17.2,7029,1230,36,5799,12.2,CA,0.59,0.38,6,0.81,0.19,NA,NA
"Congressional District 12 (118th Congress), California",California,Lateefah Simon,Democratic ,12,5001800US0612,West,Pacific,0.7162118507738342,0.6248874420965012,41.0,288071,47393,4336,3638,11664,26.2,8735,2709,43,6026,16.5,CA,0.59,0.38,6,0.65,--,New member,NA
"Congressional District 13 (118th Congress), California",California,John Duarte,Republican ,13,5001800US0613,West,Pacific,0.6685677963452461,0.5120642193688174,44.9,214351,54715,10792,3593,15797,46.6,11001,4263,58,6738,25.5,CA,0.59,0.38,6,0.5,0.5,NA,NA
"Congressional District 14 (118th Congress), California",California,Eric Swalwell,Democratic ,14,5001800US0614,West,Pacific,0.7320198727721992,0.6016871954036451,54.4,246606,67300,4656,2408,7510,36.7,8235,1341,46,6894,27.3,CA,0.59,0.38,6,0.68,0.32,NA,NA
"Congressional District 15 (118th Congress), California",California,Kevin Mullin,Democratic ,15,5001800US0615,West,Pacific,0.7358945274718919,0.6262809748497947,50.8,255508,57872,4443,2466,7064,31.6,8936,1421,51,7515,22.6,CA,0.59,0.38,6,0.73,0.27,NA,NA
"Congressional District 16 (118th Congress), California",California,Sam Liccardo,Democratic ,16,5001800US0616,West,Pacific,0.7217494820918502,0.5832391209164636,53.7,268004,68112,3945,3122,8398,33.3,6998,957,40,6041,25.4,CA,0.59,0.38,6,0.57999999999999996,--,New member,NA
"Congressional District 17 (118th Congress), California",California,Ro Khanna,Democratic ,17,5001800US0617,West,Pacific,0.7664499083661261,0.6182566435175784,55.3,262262,72561,2967,2035,6303,34.4,8856,979,47,7877,27.7,CA,0.59,0.38,6,0.68,0.32,NA,NA
"Congressional District 18 (118th Congress), California",California,Zoe Lofgren,Democratic ,18,5001800US0618,West,Pacific,0.7035294971960088,0.5834621846371676,44.8,214771,51231,10066,2873,11025,41.3,9134,2817,49,6317,23.9,CA,0.59,0.38,6,0.65,0.35,NA,NA
"Congressional District 19 (118th Congress), California",California,Jimmy Panetta,Democratic ,19,5001800US0619,West,Pacific,0.6921397802311184,0.5873466345602568,50.7,267823,55205,5584,2450,8152,29.7,6847,1317,40,5530,20.6,CA,0.59,0.38,6,0.69,0.31,NA,NA
"Congressional District 20 (118th Congress), California",California,Vince Fong,Republican ,20,5001800US0620,West,Pacific,0.6717451808385204,0.553059753232911,50.9,259490,61025,8491,4387,13005,36.9,10113,2903,58,7210,23.5,CA,0.59,0.38,6,--,0.65,NA,NA
"Congressional District 21 (118th Congress), California",California,Jim Costa,Democratic ,21,5001800US0621,West,Pacific,0.6746179969075515,0.5503514310444524,41.1,226959,49136,11733,3676,19853,43.6,11429,4798,61,6631,21.6,CA,0.59,0.38,6,0.52,0.48,NA,NA
"Congressional District 22 (118th Congress), California",California,David G. Valadao,Republican ,22,5001800US0622,West,Pacific,0.6279251777891467,0.514935686968476,41.6,214238,54679,13309,4346,19006,49.4,13124,6334,69,6790,25.5,CA,0.59,0.38,6,0.47,0.53,NA,NA
"Congressional District 23 (118th Congress), California",California,Jay Obernolte,Republican ,23,5001800US0623,West,Pacific,0.6364321203674852,0.501882145998241,47.2,245444,53403,7959,3860,13992,37.4,10836,4280,63,6556,21.8,CA,0.59,0.38,6,0.4,0.6,NA,NA
"Congressional District 24 (118th Congress), California",California,Salud Carbajal,Democratic ,24,5001800US0624,West,Pacific,0.6559161312054709,0.5643930011034296,44.5,268361,46006,8165,3227,8992,28.3,7943,2575,44,5368,17.1,CA,0.59,0.38,6,0.63,0.37,NA,NA
